Gender,Age,Annual Income (k$),Spending Score (1-100),AgeBand,IncomeBand,IncomeNorm,SpendNorm,SpendToIncome,Cluster_KMeans,Cluster_GMM,Cluster_DBSCAN,Cluster_KMeans_3D
Male,53,46,46,41-55,Middle (40-70k),0.2540983606557377,0.45918367346938777,1.0,0,0,3,4
Male,70,46,56,56+,Middle (40-70k),0.2540983606557377,0.5612244897959183,1.2173913043478262,0,0,3,4
Male,19,46,55,18-25,Middle (40-70k),0.2540983606557377,0.5510204081632653,1.1956521739130435,0,0,3,1
Female,67,47,52,56+,Middle (40-70k),0.26229508196721313,0.5204081632653061,1.1063829787234043,0,0,3,4
Female,54,47,59,41-55,Middle (40-70k),0.26229508196721313,0.5918367346938775,1.2553191489361701,0,0,3,4
Male,63,48,51,56+,Middle (40-70k),0.27049180327868855,0.5102040816326531,1.0625,0,0,3,4
Male,18,48,59,18-25,Middle (40-70k),0.27049180327868855,0.5918367346938775,1.2291666666666667,0,0,3,1
Female,43,48,50,41-55,Middle (40-70k),0.27049180327868855,0.5,1.0416666666666667,0,0,3,4
Female,68,48,48,56+,Middle (40-70k),0.27049180327868855,0.47959183673469385,1.0,0,0,3,4
Male,19,48,59,18-25,Middle (40-70k),0.27049180327868855,0.5918367346938775,1.2291666666666667,0,0,3,1
Female,32,48,47,26-40,Middle (40-70k),0.27049180327868855,0.46938775510204084,0.9791666666666666,0,0,3,1
Male,70,49,55,56+,Middle (40-70k),0.2786885245901639,0.5510204081632653,1.1224489795918366,0,0,3,4
Female,47,49,42,41-55,Middle (40-70k),0.2786885245901639,0.41836734693877553,0.8571428571428571,0,0,3,4
Female,60,50,49,56+,Middle (40-70k),0.28688524590163933,0.4897959183673469,0.98,0,0,3,4
Female,60,50,56,56+,Middle (40-70k),0.28688524590163933,0.5612244897959183,1.12,0,0,3,4
Male,59,54,47,56+,Middle (40-70k),0.319672131147541,0.46938775510204084,0.8703703703703703,0,0,3,4
Male,26,54,54,26-40,Middle (40-70k),0.319672131147541,0.5408163265306123,1.0,0,0,3,1
Female,45,54,53,41-55,Middle (40-70k),0.319672131147541,0.5306122448979592,0.9814814814814815,0,0,3,4
Male,40,54,48,26-40,Middle (40-70k),0.319672131147541,0.47959183673469385,0.8888888888888888,0,0,3,4
Female,23,54,52,18-25,Middle (40-70k),0.319672131147541,0.5204081632653061,0.9629629629629629,0,0,3,1
Female,49,54,42,41-55,Middle (40-70k),0.319672131147541,0.41836734693877553,0.7777777777777778,0,0,3,4
Male,57,54,51,56+,Middle (40-70k),0.319672131147541,0.5102040816326531,0.9444444444444444,0,0,3,4
Male,38,54,55,26-40,Middle (40-70k),0.319672131147541,0.5510204081632653,1.0185185185185186,0,0,3,1
Male,67,54,41,56+,Middle (40-70k),0.319672131147541,0.40816326530612246,0.7592592592592593,0,0,3,4
Female,46,54,44,41-55,Middle (40-70k),0.319672131147541,0.4387755102040816,0.8148148148148148,0,0,3,4
Female,21,54,57,18-25,Middle (40-70k),0.319672131147541,0.5714285714285714,1.0555555555555556,0,0,3,1
Male,48,54,46,41-55,Middle (40-70k),0.319672131147541,0.45918367346938777,0.8518518518518519,0,0,3,4
Female,55,57,58,41-55,Middle (40-70k),0.3442622950819672,0.5816326530612245,1.0175438596491229,0,0,3,4
Female,22,57,55,18-25,Middle (40-70k),0.3442622950819672,0.5510204081632653,0.9649122807017544,0,0,3,1
Female,34,58,60,26-40,Middle (40-70k),0.3524590163934426,0.6020408163265306,1.0344827586206897,0,0,3,1
Female,50,58,46,41-55,Middle (40-70k),0.3524590163934426,0.45918367346938777,0.7931034482758621,0,0,3,4
Female,68,59,55,56+,Middle (40-70k),0.36065573770491804,0.5510204081632653,0.9322033898305084,0,0,3,4
Male,18,59,41,18-25,Middle (40-70k),0.36065573770491804,0.40816326530612246,0.6949152542372882,0,0,3,1
Male,48,60,49,41-55,Middle (40-70k),0.36885245901639346,0.4897959183673469,0.8166666666666667,0,0,3,4
Female,40,60,40,26-40,Middle (40-70k),0.36885245901639346,0.3979591836734694,0.6666666666666666,0,0,3,4
Female,32,60,42,26-40,Middle (40-70k),0.36885245901639346,0.41836734693877553,0.7,0,0,3,1
Male,24,60,52,18-25,Middle (40-70k),0.36885245901639346,0.5204081632653061,0.8666666666666667,0,0,3,1
Female,47,60,47,41-55,Middle (40-70k),0.36885245901639346,0.46938775510204084,0.7833333333333333,0,0,3,4
Female,27,60,50,26-40,Middle (40-70k),0.36885245901639346,0.5,0.8333333333333334,0,0,3,1
Male,48,61,42,41-55,Middle (40-70k),0.3770491803278688,0.41836734693877553,0.6885245901639344,0,0,3,4
Male,20,61,49,18-25,Middle (40-70k),0.3770491803278688,0.4897959183673469,0.8032786885245902,0,0,3,1
Female,23,62,41,18-25,Middle (40-70k),0.38524590163934425,0.40816326530612246,0.6612903225806451,0,0,3,1
Female,49,62,48,41-55,Middle (40-70k),0.38524590163934425,0.47959183673469385,0.7741935483870968,0,0,3,4
Male,67,62,59,56+,Middle (40-70k),0.38524590163934425,0.5918367346938775,0.9516129032258065,0,0,3,4
Male,26,62,55,26-40,Middle (40-70k),0.38524590163934425,0.5510204081632653,0.8870967741935484,0,0,3,1
Male,49,62,56,41-55,Middle (40-70k),0.38524590163934425,0.5612244897959183,0.9032258064516129,0,0,3,4
Female,21,62,42,18-25,Middle (40-70k),0.38524590163934425,0.41836734693877553,0.6774193548387096,0,0,3,1
Female,66,63,50,56+,Middle (40-70k),0.39344262295081966,0.5,0.7936507936507936,0,0,3,4
Male,54,63,46,41-55,Middle (40-70k),0.39344262295081966,0.45918367346938777,0.7301587301587301,0,0,3,4
Male,68,63,43,56+,Middle (40-70k),0.39344262295081966,0.42857142857142855,0.6825396825396826,0,0,3,4
Male,66,63,48,56+,Middle (40-70k),0.39344262295081966,0.47959183673469385,0.7619047619047619,0,0,3,4
Male,65,63,52,56+,Middle (40-70k),0.39344262295081966,0.5204081632653061,0.8253968253968254,0,0,3,4
Female,19,63,54,18-25,Middle (40-70k),0.39344262295081966,0.5408163265306123,0.8571428571428571,0,0,3,1
Female,38,64,42,26-40,Middle (40-70k),0.4016393442622951,0.41836734693877553,0.65625,0,0,3,3
Male,19,64,46,18-25,Middle (40-70k),0.4016393442622951,0.45918367346938777,0.71875,0,0,3,1
Female,18,65,48,18-25,Middle (40-70k),0.4098360655737705,0.47959183673469385,0.7384615384615385,0,0,3,1
Female,19,65,50,18-25,Middle (40-70k),0.4098360655737705,0.5,0.7692307692307693,0,0,3,1
Female,63,65,43,56+,Middle (40-70k),0.4098360655737705,0.42857142857142855,0.6615384615384615,0,0,3,4
Female,49,65,59,41-55,Middle (40-70k),0.4098360655737705,0.5918367346938775,0.9076923076923077,0,0,3,4
Female,51,67,43,41-55,Middle (40-70k),0.4262295081967213,0.42857142857142855,0.6417910447761194,0,0,3,4
Female,50,67,57,41-55,Middle (40-70k),0.4262295081967213,0.5714285714285714,0.8507462686567164,0,0,3,4
Male,27,67,56,26-40,Middle (40-70k),0.4262295081967213,0.5612244897959183,0.835820895522388,0,0,3,1
Female,38,67,40,26-40,Middle (40-70k),0.4262295081967213,0.3979591836734694,0.5970149253731343,0,0,3,3
Female,40,69,58,26-40,Middle (40-70k),0.4426229508196721,0.5816326530612245,0.8405797101449275,0,0,3,2
Male,39,69,91,26-40,Middle (40-70k),0.4426229508196721,0.9183673469387755,1.318840579710145,1,1,4,2
Female,23,70,29,18-25,Middle (40-70k),0.45081967213114754,0.2857142857142857,0.4142857142857143,3,3,3,3
Female,31,70,77,26-40,Middle (40-70k),0.45081967213114754,0.7755102040816326,1.1,1,1,4,2
Male,43,71,35,41-55,High (>70k),0.45901639344262296,0.3469387755102041,0.49295774647887325,0,0,3,3
Male,40,71,95,26-40,High (>70k),0.45901639344262296,0.9591836734693877,1.3380281690140845,1,1,4,2
Male,59,71,11,56+,High (>70k),0.45901639344262296,0.10204081632653061,0.15492957746478872,3,3,5,3
Male,38,71,75,26-40,High (>70k),0.45901639344262296,0.7551020408163265,1.056338028169014,1,1,4,2
Male,47,71,9,41-55,High (>70k),0.45901639344262296,0.08163265306122448,0.1267605633802817,3,3,5,3
Male,39,71,75,26-40,High (>70k),0.45901639344262296,0.7551020408163265,1.056338028169014,1,1,4,2
Female,25,72,34,18-25,High (>70k),0.4672131147540984,0.336734693877551,0.4722222222222222,0,0,3,3
Female,31,72,71,26-40,High (>70k),0.4672131147540984,0.7142857142857143,0.9861111111111112,1,1,4,2
Male,20,73,5,18-25,High (>70k),0.47540983606557374,0.04081632653061224,0.0684931506849315,3,3,5,3
Female,29,73,88,26-40,High (>70k),0.47540983606557374,0.8877551020408163,1.2054794520547945,1,1,4,2
Female,44,73,7,41-55,High (>70k),0.47540983606557374,0.061224489795918366,0.0958904109589041,3,3,5,3
Male,32,73,73,26-40,High (>70k),0.47540983606557374,0.7346938775510204,1.0,1,1,4,2
Male,19,74,10,18-25,High (>70k),0.48360655737704916,0.09183673469387756,0.13513513513513514,3,3,5,3
Female,35,74,72,26-40,High (>70k),0.48360655737704916,0.7244897959183674,0.972972972972973,1,1,4,2
Female,57,75,5,56+,High (>70k),0.4918032786885246,0.04081632653061224,0.06666666666666667,3,3,5,3
Male,32,75,93,26-40,High (>70k),0.4918032786885246,0.9387755102040817,1.24,1,1,4,2
Female,28,76,40,26-40,High (>70k),0.5,0.3979591836734694,0.5263157894736842,0,0,3,3
Female,32,76,87,26-40,High (>70k),0.5,0.8775510204081632,1.144736842105263,1,1,4,2
Male,25,77,12,18-25,High (>70k),0.5081967213114754,0.11224489795918367,0.15584415584415584,3,3,5,3
Male,28,77,97,26-40,High (>70k),0.5081967213114754,0.9795918367346939,1.2597402597402598,1,1,4,2
Male,48,77,36,41-55,High (>70k),0.5081967213114754,0.35714285714285715,0.4675324675324675,3,0,3,3
Female,32,77,74,26-40,High (>70k),0.5081967213114754,0.7448979591836735,0.961038961038961,1,1,4,2
Female,34,78,22,26-40,High (>70k),0.5163934426229508,0.21428571428571427,0.28205128205128205,3,3,5,3
Male,34,78,90,26-40,High (>70k),0.5163934426229508,0.9081632653061225,1.1538461538461537,1,1,4,2
Male,43,78,17,41-55,High (>70k),0.5163934426229508,0.16326530612244897,0.21794871794871795,3,3,5,3
Male,39,78,88,26-40,High (>70k),0.5163934426229508,0.8877551020408163,1.1282051282051282,1,1,4,2
Female,44,78,20,41-55,High (>70k),0.5163934426229508,0.19387755102040816,0.2564102564102564,3,3,5,3
Female,38,78,76,26-40,High (>70k),0.5163934426229508,0.7653061224489796,0.9743589743589743,1,1,4,2
Female,47,78,16,41-55,High (>70k),0.5163934426229508,0.15306122448979592,0.20512820512820512,3,3,5,3
Female,27,78,89,26-40,High (>70k),0.5163934426229508,0.8979591836734694,1.141025641025641,1,1,4,2
Male,37,78,1,26-40,High (>70k),0.5163934426229508,0.0,0.01282051282051282,3,3,5,3
Female,30,78,78,26-40,High (>70k),0.5163934426229508,0.7857142857142857,1.0,1,1,4,2
Male,34,78,1,26-40,High (>70k),0.5163934426229508,0.0,0.01282051282051282,3,3,5,3
Female,30,78,73,26-40,High (>70k),0.5163934426229508,0.7346938775510204,0.9358974358974359,1,1,4,2
Female,56,79,35,56+,High (>70k),0.5245901639344263,0.3469387755102041,0.4430379746835443,3,0,3,4
Female,29,79,83,26-40,High (>70k),0.5245901639344263,0.8367346938775511,1.0506329113924051,1,1,4,2
Male,19,81,5,18-25,High (>70k),0.5409836065573771,0.04081632653061224,0.06172839506172839,3,3,5,3
Female,31,81,93,26-40,High (>70k),0.5409836065573771,0.9387755102040817,1.1481481481481481,1,1,4,2
Male,50,85,26,41-55,High (>70k),0.5737704918032787,0.25510204081632654,0.3058823529411765,3,3,5,3
Female,36,85,75,26-40,High (>70k),0.5737704918032787,0.7551020408163265,0.8823529411764706,1,1,4,2
Male,42,86,20,41-55,High (>70k),0.5819672131147541,0.19387755102040816,0.23255813953488372,3,3,5,3
Female,33,86,95,26-40,High (>70k),0.5819672131147541,0.9591836734693877,1.1046511627906976,1,1,4,2
Female,36,87,27,26-40,High (>70k),0.5901639344262295,0.2653061224489796,0.3103448275862069,3,3,5,3
Male,32,87,63,26-40,High (>70k),0.5901639344262295,0.6326530612244898,0.7241379310344828,1,1,4,2
Male,40,87,13,26-40,High (>70k),0.5901639344262295,0.12244897959183673,0.14942528735632185,3,3,5,3
Male,28,87,75,26-40,High (>70k),0.5901639344262295,0.7551020408163265,0.8620689655172413,1,1,4,2
Male,36,87,10,26-40,High (>70k),0.5901639344262295,0.09183673469387756,0.11494252873563218,3,3,5,3
Male,36,87,92,26-40,High (>70k),0.5901639344262295,0.9285714285714286,1.0574712643678161,1,1,4,2
Female,52,88,13,41-55,High (>70k),0.5983606557377049,0.12244897959183673,0.14772727272727273,3,3,5,3
Female,30,88,86,26-40,High (>70k),0.5983606557377049,0.8673469387755102,0.9772727272727273,1,1,4,2
Male,58,88,15,56+,High (>70k),0.5983606557377049,0.14285714285714285,0.17045454545454544,3,3,5,3
Male,27,88,69,26-40,High (>70k),0.5983606557377049,0.6938775510204082,0.7840909090909091,1,1,4,2
Male,59,93,14,56+,High (>70k),0.639344262295082,0.1326530612244898,0.15053763440860216,3,3,5,3
Male,35,93,90,26-40,High (>70k),0.639344262295082,0.9081632653061225,0.967741935483871,1,1,4,2
Female,37,97,32,26-40,High (>70k),0.6721311475409836,0.3163265306122449,0.32989690721649484,3,3,6,3
Female,32,97,86,26-40,High (>70k),0.6721311475409836,0.8673469387755102,0.8865979381443299,1,1,4,2
Male,46,98,15,41-55,High (>70k),0.680327868852459,0.14285714285714285,0.15306122448979592,3,3,5,3
Female,29,98,88,26-40,High (>70k),0.680327868852459,0.8877551020408163,0.8979591836734694,1,1,4,2
Female,41,99,39,41-55,High (>70k),0.6885245901639344,0.3877551020408163,0.3939393939393939,3,3,-1,3
Male,30,99,97,26-40,High (>70k),0.6885245901639344,0.9795918367346939,0.9797979797979798,1,1,-1,2
Female,54,101,24,41-55,High (>70k),0.7049180327868853,0.23469387755102042,0.2376237623762376,3,3,6,3
Male,28,101,68,26-40,High (>70k),0.7049180327868853,0.6836734693877551,0.6732673267326733,1,1,-1,2
Female,41,103,17,41-55,High (>70k),0.7213114754098361,0.16326530612244897,0.1650485436893204,3,3,6,3
Female,36,103,85,26-40,High (>70k),0.7213114754098361,0.8571428571428571,0.8252427184466019,1,1,4,2
Female,34,103,23,26-40,High (>70k),0.7213114754098361,0.22448979591836735,0.22330097087378642,3,3,6,3
Female,32,103,69,26-40,High (>70k),0.7213114754098361,0.6938775510204082,0.6699029126213593,1,1,-1,2
Male,33,113,8,26-40,High (>70k),0.8032786885245902,0.07142857142857142,0.07079646017699115,3,3,-1,3
Female,38,113,91,26-40,High (>70k),0.8032786885245902,0.9183673469387755,0.8053097345132744,1,1,-1,2
Female,47,120,16,41-55,High (>70k),0.860655737704918,0.15306122448979592,0.13333333333333333,3,3,-1,3
Female,35,120,79,26-40,High (>70k),0.860655737704918,0.7959183673469388,0.6583333333333333,1,1,-1,2
Female,45,126,28,41-55,High (>70k),0.9098360655737705,0.2755102040816326,0.2222222222222222,3,3,-1,3
Male,32,126,74,26-40,High (>70k),0.9098360655737705,0.7448979591836735,0.5873015873015873,1,1,-1,2
Male,32,137,18,26-40,High (>70k),1.0,0.17346938775510204,0.13138686131386862,3,3,-1,3
Male,30,137,83,26-40,High (>70k),1.0,0.8367346938775511,0.6058394160583942,1,1,-1,2
